"user.id","genre","date","score"
73,"indie / alternative rock","2008-09-22",""
55,"indie / alternative rock","2008-09-19",""
36,"indie / alternative rock","2008-09-19","2-7 hours / week"
39,"indie / alternative rock","2008-09-18",""
37,"indie / alternative rock","2008-09-16","2-7 hours / week"
3,"indie / alternative rock","2008-09-16",""
72,"indie / alternative rock","2008-09-16","2 hours or less / week"
11,"indie / alternative rock","2008-09-16","2 hours or less / week"
63,"indie / alternative rock","2008-09-16","2 hours or less / week"
21,"indie / alternative rock","2008-09-16","2-7 hours / week"
59,"indie / alternative rock","2008-09-16","more than 7 hrs / week"
47,"indie / alternative rock","2008-09-16","more than 7 hrs / week"
51,"indie / alternative rock","2008-09-16",""
17,"indie / alternative rock","2008-09-16",""
52,"indie / alternative rock","2008-09-16","2-7 hours / week"
29,"indie / alternative rock","2008-09-16","2 hours or less / week"
40,"indie / alternative rock","2008-09-16","2 hours or less / week"
50,"indie / alternative rock","2008-09-16","more than 7 hrs / week"
9,"indie / alternative rock","2008-09-16","2 hours or less / week"
7,"indie / alternative rock","2008-09-16","more than 7 hrs / week"
69,"indie / alternative rock","2008-09-16",""
44,"indie / alternative rock","2008-09-16","2-7 hours / week"
27,"indie / alternative rock","2008-09-16",""
66,"indie / alternative rock","2008-09-16","2-7 hours / week"
67,"indie / alternative rock","2008-09-16",""
64,"indie / alternative rock","2008-09-16",""
6,"indie / alternative rock","2008-09-15","2 hours or less / week"
19,"indie / alternative rock","2008-09-15",""
30,"indie / alternative rock","2008-09-15","2-7 hours / week"
71,"indie / alternative rock","2008-09-15","2 hours or less / week"
1,"indie / alternative rock","2008-09-15","more than 7 hrs / week"
46,"indie / alternative rock","2008-09-15","2 hours or less / week"
35,"indie / alternative rock","2008-09-15","2-7 hours / week"
32,"indie / alternative rock","2008-09-15","2-7 hours / week"
53,"indie / alternative rock","2008-09-15","2 hours or less / week"
83,"indie / alternative rock","2008-09-15","2 hours or less / week"
14,"indie / alternative rock","2008-09-15","2 hours or less / week"
25,"indie / alternative rock","2008-09-15","2-7 hours / week"
61,"indie / alternative rock","2008-09-15","2-7 hours / week"
33,"indie / alternative rock","2008-09-15","more than 7 hrs / week"
60,"indie / alternative rock","2008-09-15","2 hours or less / week"
48,"indie / alternative rock","2008-09-15",""
41,"indie / alternative rock","2008-09-15","2 hours or less / week"
38,"indie / alternative rock","2008-09-15","2-7 hours / week"
28,"indie / alternative rock","2008-09-15",""
26,"indie / alternative rock","2008-09-15","2-7 hours / week"
10,"indie / alternative rock","2008-09-15",""
22,"indie / alternative rock","2008-09-15","2 hours or less / week"
65,"indie / alternative rock","2008-09-15","2 hours or less / week"
18,"indie / alternative rock","2008-09-15","more than 7 hrs / week"
54,"indie / alternative rock","2008-09-15","2-7 hours / week"
2,"indie / alternative rock","2008-09-15",""
56,"indie / alternative rock","2008-09-15","more than 7 hrs / week"
5,"indie / alternative rock","2008-09-15",""
20,"indie / alternative rock","2008-09-15","2 hours or less / week"
57,"indie / alternative rock","2008-09-15","more than 7 hrs / week"
58,"indie / alternative rock","2008-09-15","more than 7 hrs / week"
62,"indie / alternative rock","2008-09-15","2-7 hours / week"
31,"indie / alternative rock","2008-09-15","2-7 hours / week"
4,"indie / alternative rock","2008-09-15","2 hours or less / week"
68,"indie / alternative rock","2008-09-15","2-7 hours / week"
42,"indie / alternative rock","2008-09-15","2 hours or less / week"
24,"indie / alternative rock","2008-09-15","more than 7 hrs / week"
45,"indie / alternative rock","2008-09-15",""
70,"indie / alternative rock","2008-09-15",""
82,"indie / alternative rock","2008-09-15",""
23,"indie / alternative rock","2008-09-15","2-7 hours / week"
8,"indie / alternative rock","2008-09-15","2 hours or less / week"
84,"indie / alternative rock","2008-09-15",""
43,"indie / alternative rock","2008-09-15","2 hours or less / week"
34,"indie / alternative rock","2008-09-15","2 hours or less / week"
13,"indie / alternative rock","2008-09-15",""
49,"indie / alternative rock","2008-09-15","more than 7 hrs / week"
16,"indie / alternative rock","2008-09-15","2-7 hours / week"
73,"classic rock","2008-09-22",""
55,"classic rock","2008-09-19","2 hours or less / week"
36,"classic rock","2008-09-19",""
39,"classic rock","2008-09-18",""
